"Sample","Treatment","PcaP","TRV","P3_PVY"
"H1","H",24.8647136688,"NA","NA"
"H1","H",24.659368515,"NA","NA"
"H2","H",24.4144020081,"NA","NA"
"H2","H",24.2196331024,"NA","NA"
"H3","H",26.7677516937,"NA","NA"
"H3","H",27.4971923828,"NA","NA"
"PVY1","PVY",25.3334789276,"NA",13.6416940689
"PVY1","PVY",25.3906288147,"NA",13.8321475983
"PVY2","PVY",25.6577777863,"NA",13.4724225998
"PVY2","PVY",26.3087882996,"NA",13.4634990692
"PVY3","PVY",29.3785209656,"NA",13.6373682022
"PVY3","PVY",29.0072231293,"NA",13.5994491577
"TRV_PVY1","TRV_PVY",23.1153926849,14.2050390244,14.8565559387
"TRV_PVY1","TRV_PVY",23.2604656219,14.2465162277,14.7362546921
"TRV_PVY2","TRV_PVY",23.5948066711,13.9740095139,15.2539024353
"TRV_PVY2","TRV_PVY",23.2762260437,13.9274320602,14.9727706909
"TRV_PVY3","TRV_PVY",23.8795509338,16.7043895721,16.5844097137
"TRV_PVY3","TRV_PVY",24.656288147,16.8553943634,16.29322052
"TRV1","TRV",23.8777294159,14.2596950531,"NA"
"TRV1","TRV",24.2278347015,14.600643158,"NA"
"TRV2","TRV",24.0182876587,15.0173282623,"NA"
"TRV2","TRV",23.7780628204,14.3727760315,"NA"
"TRV3","TRV",25.1404304504,17.6171264648,"NA"
"TRV3","TRV",24.7462463379,17.6210689545,"NA"
"VIGS_PVY1","VIGS_PVY",23.3561515808,14.7834177017,16.6566905975
"VIGS_PVY1","VIGS_PVY",22.9863739014,15.5470895767,16.3600540161
"VIGS_PVY2","VIGS_PVY",23.2427978516,14.6421585083,15.6478729248
"VIGS_PVY2","VIGS_PVY",23.2549133301,14.6269807816,15.4234495163
"VIGS_PVY3","VIGS_PVY",24.3570976257,16.8605728149,15.3322067261
"VIGS_PVY3","VIGS_PVY",24.6728210449,16.8257770538,15.48133564
"VIGS1","VIGS",23.2489776611,15.212720871,"NA"
"VIGS1","VIGS",23.3860244751,15.3685894012,"NA"
"VIGS2","VIGS",23.2291088104,15.2505760193,"NA"
"VIGS2","VIGS",22.3516921997,14.8365821838,"NA"
"VIGS3","VIGS",24.8998680115,16.7262477875,"NA"
"VIGS3","VIGS",24.7153663635,16.7286224365,"NA"
