"Sample","Treatment","UBI","PcaP","P3_PVY","TRV"
"H1","H",26.5540790557861,26.2481136322021,NA,NA
"H1","H",26.2089900970459,26.4538040161133,NA,NA
"H2","H",23.7742538452148,26.4538040161133,NA,NA
"H2","H",23.693811416626,25.1140289306641,NA,NA
"TRV1","TRV",25.9529895782471,24.2753963470459,NA,NA
"TRV1","TRV",25.8912029266357,24.5060062408447,NA,NA
"TRV2","TRV",26.3896713256836,25.1510448455811,NA,NA
"TRV2","TRV",26.4911460876465,25.2379207611084,NA,NA
"TRV3","TRV",25.7448291778564,25.3217182159424,NA,NA
"TRV3","TRV",26.037088394165,25.1191959381104,NA,NA
"TRV4","TRV",25.8727474212646,24.8689212799072,NA,NA
"TRV4","TRV",26.3820190429688,25.4135112762451,NA,NA
"PCaPOEX-1","OEX",32.5688667297363,27.1601867675781,NA,NA
"PCaPOEX-1","OEX",31.60573387146,27.3046321868896,NA,NA
"PCaPOEX-2","OEX",29.6133995056152,24.7836971282959,NA,NA
"PCaPOEX-2","OEX",29.2638111114502,24.84836769104,NA,NA
"PCaPOEX-3","OEX",23.7864227294922,17.6317100524902,NA,NA
"PCaPOEX-3","OEX",24.2754077911377,17.6025104522705,NA,NA
"PCaPOEX-4","OEX",35.0969848632812,30.492036819458,NA,NA
"PCaPOEX-4","OEX",35.4823951721191,30.6685085296631,NA,NA
"PCaPOEX-5","OEX",30.3750305175781,24.2435932159424,NA,NA
"PCaPOEX-5","OEX",30.9002933502197,24.1752796173096,NA,NA
"PCaPOEX-6","OEX",29.0086059570312,30.0510215759277,NA,NA
"PCaPOEX-6","OEX",29.3547458648682,30.1606903076172,NA,NA
"PCaPOEX-7","OEX",26.607364654541,24.3921737670898,NA,NA
"PCaPOEX-7","OEX",26.3794727325439,21.4446601867676,NA,NA
"PVY1","PVY",29.2832508087158,30.9295063018799,24.5255832672119,NA
"PVY1","PVY",29.212287902832,30.7297019958496,24.5548095703125,NA
"PVY2","PVY",36.2252464294434,34.7703170776367,26.807445526123,NA
"PVY2","PVY",36.4982643127441,36.0603790283203,27.3491344451904,NA
"PVY3","PVY",30.3048534393311,31.1553859710693,23.1112518310547,NA
"PVY3","PVY",30.6478290557861,30.7833442687988,22.9591865539551,NA
"PVY4","PVY",25.7283096313477,27.411018371582,20.2563400268555,NA
"PVY4","PVY",25.6247787475586,26.9304237365723,20.2385730743408,NA
"PVY5","PVY",23.8327045440674,24.5374565124512,18.1445198059082,NA
"PVY5","PVY",23.6952323913574,24.373851776123,17.9778919219971,NA
"TRV/PVY1","TRV_PVY",28.3800392150879,31.7607383728027,22.4781360626221,NA
"TRV/PVY1","TRV_PVY",28.1206378936768,31.8406181335449,22.45139503479,NA
"TRV/PVY2","TRV_PVY",29.3664054870605,32.7762718200684,24.3581867218018,NA
"TRV/PVY2","TRV_PVY",29.7475204467773,32.5361137390137,24.3105125427246,NA
"TRV/PVY3","TRV_PVY",28.6942939758301,31.2462692260742,22.7934513092041,NA
"TRV/PVY3","TRV_PVY",28.6276969909668,30.6351261138916,22.654317855835,NA
"OEX/PVY1","OEX_PVY",30.7785491943359,24.7674655914307,22.8153648376465,NA
"OEX/PVY1","OEX_PVY",31.0631771087646,25.0627956390381,22.74560546875,NA
"OEX/PVY2","OEX_PVY",27.7068462371826,24.2486782073975,19.6222686767578,NA
"OEX/PVY2","OEX_PVY",27.7466659545898,24.2769966125488,19.5678062438965,NA
"OEX/PVY3","OEX_PVY",26.3118209838867,19.8090171813965,20.6631679534912,NA
"OEX/PVY3","OEX_PVY",26.9496078491211,19.5845699310303,20.4990062713623,NA
"OEX/PVY4","OEX_PVY",30.050745010376,27.6773662567139,23.4244709014893,NA
"OEX/PVY4","OEX_PVY",NA,28.0998992919922,23.5683917999268,NA
"OEX/PVY5","OEX_PVY",31.411642074585,23.9914169311523,23.1978740692139,NA
"OEX/PVY5","OEX_PVY",32.374397277832,23.9052829742432,23.3566722869873,NA
"TRV1","TRV",27.7582473754883,NA,NA,30.1598701477051
"TRV1","TRV",27.8811264038086,NA,NA,29.9962196350098
"TRV2","TRV",29.9365310668945,NA,NA,33.5593328475952
"TRV2","TRV",28.6284790039062,NA,NA,33.0190162658691
"TRV3","TRV",31.9206161499023,NA,NA,31.6241226196289
"TRV3","TRV",31.8058338165283,NA,NA,29.6938304901123
"TRV4","TRV",28.393367767334,NA,NA,30.772497177124
"TRV4","TRV",28.1804599761963,NA,NA,34.9605445861816
"PCaPOEX-1","OEX",36.3178977966309,NA,NA,NA
"PCaPOEX-1","OEX",34.161434173584,NA,NA,39.4047927856445
"PCaPOEX-2","OEX",31.6023807525635,NA,NA,34.7207183837891
"PCaPOEX-2","OEX",31.6109428405762,NA,NA,34.748706817627
"PCaPOEX-3","OEX",25.7211475372314,NA,NA,26.3756694793701
"PCaPOEX-3","OEX",25.1480598449707,NA,NA,26.0542163848877
"OEX/PVY1","OEX_PVY",28.7307605743408,NA,NA,34.3001289367676
"OEX/PVY1","OEX_PVY",28.5728187561035,NA,NA,33.2762031555176
"OEX/PVY2","OEX_PVY",25.3848056793213,NA,NA,33.5056991577148
"OEX/PVY2","OEX_PVY",27.1841487884521,NA,NA,38.7133865356445
"OEX/PVY3","OEX_PVY",24.0823841094971,NA,NA,29.2615165710449
"OEX/PVY3","OEX_PVY",23.924861907959,NA,NA,29.2957019805908
"OEX/PVY4","OEX_PVY",26.8484058380127,NA,NA,31.1467933654785
"OEX/PVY4","OEX_PVY",26.660961151123,NA,NA,31.3057861328125
"OEX/PVY5","OEX_PVY",28.6527004241943,NA,NA,31.2691478729248
"OEX/PVY5","OEX_PVY",28.8024635314941,NA,NA,30.9938545227051
"TRV/PVY1","TRV_PVY",26.7289695739746,NA,NA,32.2702484130859
"TRV/PVY1","TRV_PVY",27.4601669311523,NA,NA,32.3406829833984
"TRV/PVY2","TRV_PVY",27.3231925964355,NA,NA,32.6240653991699
"TRV/PVY2","TRV_PVY",26.9166221618652,NA,NA,32.11279296875
"TRV/PVY3","TRV_PVY",26.7804317474365,NA,NA,29.0329189300537
"TRV/PVY3","TRV_PVY",27.056661605835,NA,NA,28.174560546875
"TRV-1","TRV",30.6829147338867,NA,NA,32.2534828186035
"TRV-1","TRV",30.3709888458252,NA,NA,32.0764007568359
"TRV-2","TRV",30.1631641387939,NA,NA,29.2972183227539
"TRV-2","TRV",29.4567527770996,NA,NA,29.6541938781738
"TRV-3","TRV",34.834041595459,NA,NA,NA
"TRV-3","TRV",34.834041595459,NA,NA,38.6925582885742
"TRV-5","TRV",32.8823127746582,NA,NA,33.3265495300293
"TRV-5","TRV",33.5715255737305,NA,NA,33.5639915466309
"TRV/PVY-1","TRV_PVY",30.3005294799805,NA,36.1210670471191,31.5557155609131
"TRV/PVY-1","TRV_PVY",30.1183452606201,NA,35.9384498596191,30.7549438476562
"TRV/PVY-2","TRV_PVY",31.4103736877441,NA,35.2876167297363,27.6519966125488
"TRV/PVY-2","TRV_PVY",31.5858745574951,NA,36.0638008117676,27.6885185241699
"TRV/PVY-3","TRV_PVY",31.4103736877441,NA,33.370059967041,35.9607276916504
"TRV/PVY-3","TRV_PVY",31.5858745574951,NA,34.1942253112793,35.8828620910645
"TRV/PVY-4","TRV_PVY",33.1189498901367,NA,25.7088680267334,NA
"TRV/PVY-4","TRV_PVY",33.1266288757324,NA,25.835844039917,NA
"PCaPoex/PVY-1","OEX_PVY",28.693265914917,NA,22.1717586517334,29.2901763916016
"PCaPoex/PVY-1","OEX_PVY",27.2001762390137,NA,21.8561420440674,29.8197822570801
"PCaPoex/PVY-2","OEX_PVY",32.1184120178223,NA,27.9981594085693,33.6411552429199
"PCaPoex/PVY-2","OEX_PVY",31.8924217224121,NA,27.9847393035889,32.9511108398437
"PCaPoex/PVY-3","OEX_PVY",30.5574531555176,NA,25.0520668029785,34.6479454040527
"PCaPoex/PVY-3","OEX_PVY",30.4419479370117,NA,25.7234210968018,35.0142669677734
"PcaPoex-1","OEX",27.443920135498,NA,NA,31.8752994537353
"PcaPoex-1","OEX",27.9063854217529,NA,NA,30.4388599395752
"PcaPoex-2","OEX",29.9269332885742,NA,NA,31.9334163665771
"PcaPoex-2","OEX",29.6354370117187,NA,NA,33.4120597839355
"PcaPoex-3","OEX",33.8646545410156,NA,NA,37.029762268066
"PcaPoex-3","OEX",34.1074676513672,NA,NA,37.0527076721191
"PVY-2","PVY",31.8142719268799,NA,27.0140495300293,NA
"PVY-2","PVY",31.6326713562012,NA,27.7367210388184,NA
"PVY-3","PVY",32.2359657287598,NA,26.9778347015381,NA
"PVY-3","PVY",32.211353302002,NA,26.7342014312744,NA
"PVY-4","PVY",32.0773010253906,NA,29.8826541900635,NA
"PVY-4","PVY",32.7789573669434,NA,29.1413135528564,NA
"PVY-5","PVY",31.6426486968994,NA,24.597827911377,NA
"PVY-5","PVY",30.4810886383057,NA,24.5935478210449,NA
"H1","H",28.7060928344727,29.7533321380615,NA,NA
"H1","H",29.5470752716064,30.3076229095459,NA,NA
"H2","H",28.7688083648682,26.5585403442383,NA,NA
"H2","H",29.0548286437988,26.3648700714111,NA,NA
"TRV-1","TRV",30.5018005371094,28.6332817077636,NA,NA
"TRV-1","TRV",29.872150421142,28.8604106903076,NA,NA
"TRV-2","TRV",29.2539386749268,29.0449810028076,NA,NA
"TRV-2","TRV",28.6987380981445,28.9079723358154,NA,NA
"TRV-3","TRV",33.8087348937988,35.3391799926758,NA,NA
"TRV-3","TRV",33.3946723937988,35.8195571899414,NA,NA
"TRV-4","TRV",33.0890502929687,34.1707763671875,NA,NA
"TRV-4","TRV",33.7814598083496,33.8131790161132,NA,NA
"TRV/PVY-1","TRV_PVY",30.2058353424072,31.6255474090576,NA,NA
"TRV/PVY-1","TRV_PVY",30.2058353424072,31.1955909729003,NA,NA
"TRV/PVY-2","TRV_PVY",32.5426635742187,31.9151268005371,NA,NA
"TRV/PVY-2","TRV_PVY",33.4049224853516,31.5739192962646,NA,NA
"TRV/PVY-3","TRV_PVY",34.9070587158203,34.5119972229004,NA,NA
"TRV/PVY-3","TRV_PVY",36.2368774414062,36.3383102416992,NA,NA
"TRV/PVY-4","TRV_PVY",31.9261245727539,31.5740585327148,NA,NA
"TRV/PVY-4","TRV_PVY",32.1427459716797,32.5821495056152,NA,NA
"OEX/PVY-1","OEX_PVY",30.7310638427734,24.6162624359131,NA,NA
"OEX/PVY-1","OEX_PVY",30.5587959289551,25.5768299102783,NA,NA
"OEX/PVY-2","OEX_PVY",30.6991653442382,25.6213054656982,NA,NA
"OEX/PVY-2","OEX_PVY",30.3587760925293,25.6933708190918,NA,NA
"OEX/PVY-3","OEX_PVY",30.5206871032715,30.9909915924072,NA,NA
"OEX/PVY-3","OEX_PVY",30.3930416107178,30.9909915924072,NA,NA
"PVY-1","PVY",33.260498046875,34.0969886779785,NA,NA
"PVY-1","PVY",31.6232109069824,32.4312477111816,NA,NA
"PVY-2","PVY",32.5508613586426,33.8625907897949,NA,NA
"PVY-2","PVY",34.3106307983398,33.9143905639648,NA,NA
"PVY-3","PVY",31.0816898345947,29.0546455383301,NA,NA
"PVY-3","PVY",31.0816898345947,30.0412788391113,NA,NA
"PVY-4","PVY",31.9678955078125,30.2377128601074,NA,NA
"PVY-4","PVY",31.2001876831055,30.6646842956543,NA,NA
"OEX-1","OEX",28.5922393798828,19.7741355895996,NA,NA
"OEX-1","OEX",28.1979274749756,19.7707557678223,NA,NA
"OEX-2","OEX",30.6738224029541,23.2309436798096,NA,NA
"OEX-2","OEX",30.1083202362061,23.2433834075928,NA,NA
"OEX-3","OEX",33.5817222595215,33.7712745666504,NA,NA
"OEX-3","OEX",35.6327590942383,37.4278793334961,NA,NA
