"Sample","Treatment","UBI","PcaP","timepoint"
"VIGS-100","VIGS",24.82787895,23.73725319,1
"VIGS-100","VIGS",24.90260315,23.63719177,1
"VIGS-101","VIGS",24.08320427,23.77006149,1
"VIGS-101","VIGS",24.42392159,23.94635201,1
"VIGS-102","VIGS",33.12098694,32.26931,1
"VIGS-102","VIGS",33.99147034,32.4560318,1
"VIGS-103","VIGS",25.2292614,24.46580124,1
"VIGS-103","VIGS",25.08351326,24.55638695,1
"TRV-126","TRV",23.6484642,25.5228653,1
"TRV-126","TRV",25.16915131,25.50905228,1
"TRV-128","TRV",25.20337868,24.26495934,1
"TRV-128","TRV",25.14600754,24.22492218,1
"TRV-129","TRV",24.84200096,23.82063293,1
"TRV-129","TRV",25.11290169,23.95963478,1
"VIGS-97","VIGS",24.40706444,22.96131706,1
"VIGS-97","VIGS",23.92578888,23.30980492,1
"VIGS-98","VIGS",23.92014122,24.28371048,1
"VIGS-98","VIGS",23.88614273,24.13286781,1
"VIGS-99","VIGS",24.99821663,24.62508965,1
"VIGS-99","VIGS",25.15480232,24.61265564,1
"H1","H",23.62068558,24.17691612,1
"H1","H",23.56489754,24.46811295,1
"H2","H",24.13775826,24.98640251,1
"H2","H",24.57980347,25.24318886,1
"H3","H",24.77552605,25.12726593,1
"H3","H",25.03295135,24.68854904,1
"H4","H",25.1841259,25.30720139,1
"H4","H",25.36985016,25.57299423,1
"H2","H",22.2993907928467,23.6196804046631,12
"H2","H",22.2715167999268,23.8015823364258,12
"H3","H",21.7537574768066,24.4302597045898,12
"H3","H",21.9710102081299,25.0685138702393,12
"Pcap1-97","VIGS",21.237813949585,24.7808704376221,12
"Pcap1-98","VIGS",20.6614685058594,23.7318878173828,12
"Pcap1-98","VIGS",21.2558212280273,23.3923397064209,12
"Pcap1-121","VIGS",21.4639186859131,24.6509323120117,12
"Pcap1-121","VIGS",21.3750991821289,24.5672931671143,12
"Pcap1-123","VIGS",21.2750072479248,25.0585422515869,12
"Pcap1-123","VIGS",21.5727024078369,24.9320735931396,12
"P0111-126","TRV",21.872859954834,23.8274211883545,12
"P0111-126","TRV",21.3058795928955,23.8895359039307,12
"P0111-128","TRV",22.0195617675781,23.9076232910156,12
"P0111-128","TRV",22.1731109619141,23.9607048034668,12
"P0111-129","TRV",22.5221729278564,25.1279315948486,12
"P0111-129","TRV",22.6153621673583,25.9137592315674,12
"P0111-138","TRV",22.0195617675781,23.9076232910156,12
"P0111-138","TRV",22.1731109619141,23.9607048034668,12
"P0111-139","TRV",22.5221729278564,25.1279315948486,12
"P0111-139","TRV",22.6153621673584,25.9137592315674,12
"H1","H",24.7617168426514,27.6438236236572,19
"H1","H",24.636890411377,27.7590522766113,19
"H2","H",24.0904750823975,26.3711853027344,19
"H2","H",24.1318988800049,26.7225704193115,19
"H3","H",24.7617168426514,26.3711853027344,19
"H3","H",24.636890411377,27.6438236236572,19
"H4","H",24.1536712646484,27.7590522766113,19
"H4","H",24.2954883575439,27.7606258392334,19
"H6","H",24.1536712646484,26.5707664489746,19
"H6","H",24.2954883575439,27.7606258392334,19
"H7","H",24.6157302856445,28.4428691864014,19
"H8","H",24.0988998413086,28.0439910888672,19
"H8","H",24.021671295166,30.157808303833,19
"Pcap1-97","VIGS",22.7698402404785,27.1730136871338,19
"Pcap1-97","VIGS",21.8739223480225,27.0616321563721,19
"Pcap1-98","VIGS",22.9152984619141,27.6162605285645,19
"Pcap1-98","VIGS",23.1531257629395,29.1533298492432,19
"Pcap1-99","VIGS",22.9152984619141,27.6162605285645,19
"Pcap1-99","VIGS",23.1531257629395,29.1533298492432,19
"Pcap1-101","VIGS",23.9594764709473,28.8977336883545,19
"Pcap1-101","VIGS",23.9865837097168,28.7130889892578,19
"Pcap1-102","VIGS",23.6896953582764,28.5075721740723,19
"Pcap1-102","VIGS",23.7664451599121,27.3696022033691,19
"Pcap1-103","VIGS",22.4360790252686,28.2385349273682,19
"Pcap1-103","VIGS",23.0434265136719,28.4554920196533,19
"Pcap1-106","VIGS",22.8183670043945,27.2165508270264,19
"Pcap1-106","VIGS",22.9023876190186,27.3611068725586,19
"Pcap1-107","VIGS",24.2741279602051,27.1430950164795,19
"Pcap1-107","VIGS",22.8568420410156,27.6559600830078,19
"Pcap1-113","VIGS",22.9100284576416,27.6080207824707,19
"Pcap1-113","VIGS",22.7110633850098,27.6183414459229,19
"Pcap1-119","VIGS",22.3452949523926,28.0028133392334,19
"Pcap1-119","VIGS",23.0084838867187,27.8006649017334,19
"Pcap1-125","VIGS",24.4297008514404,29.0685939788818,19
"Pcap1-125","VIGS",24.3826713562012,28.636510848999,19
"P0111-128","TRV",24.8467044830322,25.4606513977051,19
"P0111-128","TRV",24.9624881744385,25.4005870819092,19
"P0111-129","TRV",27.3990821838379,28.3286266326904,19
"P0111-129","TRV",27.5100269317627,28.1912689208984,19
"P0111-138","TRV",25.2613296508789,25.7161636352539,19
"P0111-138","TRV",25.022762298584,25.8210182189941,19
"P0111-139","TRV",25.6329174041748,26.0096988677979,19
"P0111-139","TRV",25.5097579956055,26.1686229705811,19
