"Sample","Treatment","gene","Ct","Plate"
"H1","H","PcaP",26.8166446685791,1
"H2","H","PcaP",26.7002277374268,1
"H3","H","PcaP",26.7799282073975,1
"PVY1","PVY","PcaP",27.5455513000488,1
"PVY2","PVY","PcaP",28.3287162780762,1
"PVY3","PVY","PcaP",27.1535911560059,1
"TRV1","TRV","PcaP",26.9744167327881,1
"TRV2","TRV","PcaP",27.3852767944336,1
"TRV3","TRV","PcaP",26.7807159423828,1
"TRV_PVY1","TRV_PVY","PcaP",25.7577209472656,1
"TRV_PVY2","TRV_PVY","PcaP",25.3529396057129,1
"TRV_PVY3","TRV_PVY","PcaP",25.7201137542725,1
"VIGS1","VIGS","PcaP",26.3245105743408,1
"VIGS2","VIGS","PcaP",25.7355518341064,1
"VIGS2","VIGS","PcaP",26.2547664642334,1
"VIGS_PVY1","VIGS_PVY","PcaP",25.2185382843018,1
"VIGS_PVY2","VIGS_PVY","PcaP",25.1334342956543,1
"VIGS_PVY3","VIGS_PVY","PcaP",24.8920459747314,1
"H1","H","P3_PVY","NA",1
"PVY1","PVY","P3_PVY",15.1899118423462,1
"PVY2","PVY","P3_PVY",15.948184967041,1
"PVY3","PVY","P3_PVY",15.5225248336792,1
"TRV_PVY1","TRV_PVY","P3_PVY",17.610860824585,1
"TRV_PVY2","TRV_PVY","P3_PVY",17.8319969177246,1
"TRV_PVY3","TRV_PVY","P3_PVY",17.8255596160889,1
"VIGS_PVY1","VIGS_PVY","P3_PVY",18.0828323364258,1
"VIGS_PVY2","VIGS_PVY","P3_PVY",23.8773555755615,1
"VIGS_PVY3","VIGS_PVY","P3_PVY",16.6899642944336,1
"H1","H","TRV","NA",1
"TRV1","TRV","TRV",17.8528251647949,1
"TRV2","TRV","TRV",17.9757823944092,1
"TRV3","TRV","TRV",18.2692775726318,1
"TRV_PVY1","TRV_PVY","TRV",16.1279544830322,1
"TRV_PVY2","TRV_PVY","TRV",16.1719932556152,1
"TRV_PVY3","TRV_PVY","TRV",16.5449104309082,1
"VIGS1","VIGS","TRV",18.1436977386475,1
"VIGS2","VIGS","TRV",17.6899509429932,1
"VIGS2","VIGS","TRV",17.5088996887207,1
"VIGS_PVY1","VIGS_PVY","TRV",16.8481903076172,1
"VIGS_PVY2","VIGS_PVY","TRV",17.3515758514404,1
"VIGS_PVY3","VIGS_PVY","TRV",16.6266708374023,1
"H1","H","UBI",25.0298900604248,1
"H1","H","UBI",24.558032989502,1
"H2","H","UBI",25.0982627868652,1
"H2","H","UBI",24.5021800994873,1
"H3","H","UBI",25.2807426452637,1
"H3","H","UBI",25.304759979248,1
"PVY1","PVY","UBI",27.8819694519043,1
"PVY1","PVY","UBI",27.3960380554199,1
"PVY2","PVY","UBI",28.401065826416,1
"PVY2","PVY","UBI",28.2855262756348,1
"PVY3","PVY","UBI",26.753490447998,1
"PVY3","PVY","UBI",26.4471797943115,1
"TRV1","TRV","UBI",25.0946140289307,1
"TRV1","TRV","UBI",24.6301040649414,1
"TRV2","TRV","UBI",25.3404884338379,1
"TRV2","TRV","UBI",25.11448097229,1
"TRV3","TRV","UBI",25.3356266021729,1
"TRV3","TRV","UBI",24.6579303741455,1
"TRV_PVY1","TRV_PVY","UBI",24.437915802002,1
"TRV_PVY1","TRV_PVY","UBI",23.6916484832764,1
"TRV_PVY2","TRV_PVY","UBI",23.4573745727539,1
"TRV_PVY2","TRV_PVY","UBI",23.5816478729248,1
"TRV_PVY3","TRV_PVY","UBI",23.9285335540771,1
"TRV_PVY3","TRV_PVY","UBI",23.8141632080078,1
"VIGS1","VIGS","UBI",22.8545303344727,1
"VIGS1","VIGS","UBI",22.9715232849121,1
"VIGS2","VIGS","UBI",22.3717403411865,1
"VIGS2","VIGS","UBI",22.4417285919189,1
"VIGS2","VIGS","UBI",23.5177059173584,1
"VIGS2","VIGS","UBI",22.8670921325684,1
"VIGS_PVY1","VIGS_PVY","UBI",21.9732666015625,1
"VIGS_PVY1","VIGS_PVY","UBI",21.5619468688965,1
