"VIGS_PVY_GFP","VIGS_PVY_RFP","TRV_PVY_GFP","TRV_PVY_RFP"
51,169,175,149
119,193,125,201
82,231,186,154
84,162,135,198
74,152,101,182
72,188,102,120
80,167,109,107
84,183,183,142
68,191,74,231
80,195,120,194
152,106,76,112
78,112,116,184
119,178,116,188
55,148,139,208
97,201,135,224
67,202,215,182
105,188,127,199
67,162,148,226
55,159,121,201
66,162,114,205
88,175,105,203
58,158,100,204
120,193,96,191
59,173,204,212
91,184,118,204
67,203,97,197
81,114,207,156
87,198,148,158
79,192,182,176
53,173,204,226
92,146,182,156
94,218,155,172
68,236,114,172
90,154,109,201
74,171,98,191
75,213,52,203
75,160,204,212
79,238,118,204
83,208,91,181
66,222,183,193
54,222,181,200
192,191,166,175
194,182,104,203
212,158,71,122
84,174,182,132
90,201,149,166
90,158,105,158
115,215,111,214
88,208,118,212
106,166,121,201
98,239,144,219
76,171,129,203
94,225,210,177
81,232,132,202
77,205,126,207
137,212,139,238
110,179,118,192
205,183,130,167
99,219,74,239
162,190,88,119
165,188,109,161
230,212,151,214
102,225,100,201
104,160,117,254
121,184,132,149
111,244,96,221
100,242,92,148
57,192,177,192
53,161,115,204
74,219,99,231
88,188,135,215
111,165,191,235
81,164,179,190
59,191,159,198
62,213,177,242
52,236,125,143
105,216,184,166
61,187,191,222
134,214,173,185
103,193,214,185
97,189,186,217
62,142,149,202
114,180,119,212
110,223,114,231
225,193,138,225
218,198,131,214
124,225,156,217
85,199,107,159
82,172,92,124
111,161,135,175
91,200,121,196
115,210,143,235
55,178,198,166
96,195,132,208
185,161,109,178
92,163,116,209
90,235,111,167
106,225,193,167
103,223,177,195
82,195,153,160
