Sample,Treatment,UBI,PcaP,TRV
H1,H,23.3419208526611,25.0927352905273,NA
H1,H,22.9739360809326,25.4086856842041,NA
H2,H,21.4474792480469,25.039924621582,NA
H2,H,21.3659973144531,25.1856899261475,NA
TRV1,TRV,26.8973903656006,26.7200137,26.205145630137
TRV1,TRV,26.6965923309326,26.3720512390137,25.901373256
TRV2,TRV,23.1980133056641,23.1778755187988,23.0110282897949
TRV2,TRV,22.7710056304932,23.2853851318359,23.2117576599121
TRV3,TRV,23.1980133056641,23.1778755187988,23.0110282897949
TRV3,TRV,22.7710056304932,23.2853851318359,23.2117576599121
TRV/PVY1,TRV/PVY,20.4912128448486,20.6398658752441,22.2075691223145
TRV/PVY1,TRV/PVY,20.7194538116455,20.4493370056152,22.1163558959961
TRV/PVY2,TRV/PVY,20.5203723907471,20.4601669311523,22.1548385620117
TRV/PVY2,TRV/PVY,20.6110534667969,20.3274555206299,22.1259174346924
TRV/PVY3,TRV/PVY,20.4509582519531,20.2283096313477,21.7620754241943
TRV/PVY3,TRV/PVY,20.4484558105469,20.4899711608887,21.9018630981445
VIGS1,VIGS,23.0687255859375,25.2415084838867,24.5476455688477
VIGS1,VIGS,22.4077606201172,25.2915725708008,24.171596527099
VIGS2,VIGS,21.6376571655273,25.3591957092285,24.8122653961182
VIGS2,VIGS,22.0095710754395,24.3235931396484,24.6153984069824
VIGS3,VIGS,21.376571655273,25.5919,24.653961182
VIGS3,VIGS,21.5710754395,25.5931396484,24.6984069824
VIGS/PVY1,VIGS/PVY,20.8229961395264,28.3427505493164,24.3731746673584
VIGS/PVY1,VIGS/PVY,20.6999893188477,28.3922882080078,24.4909687042236
VIGS/PVY2,VIGS/PVY,20.6663570404053,27.54063,23.5428409576416
VIGS/PVY2,VIGS/PVY,20.7990074157715,27.3169,24.5168952941895
VIGS/PVY3,VIGS/PVY,20.7374591827393,28.409969329834,24.3121566772461
VIGS/PVY3,VIGS/PVY,20.9285888671875,28.4181346893311,24.6303462982178
PVY1,PVY,20.9211730957031,20.6218852996826,NA
PVY1,PVY,20.8187522888184,20.6073055267334,NA
PVY2,PVY,20.555196762085,20.3939552307129,NA
PVY2,PVY,19.8025569915771,19.8062801361084,NA
PVY3,PVY,20.4209156036377,20.2091541290283,NA
PVY3,PVY,20.5705013275146,20.471736907959,NA
